DLL Insert:
80.435
78.16
66.665
97.76
65.7
76.01
93.98
72.39
79.9
120.22
136.905
66.085
77.03
77.725
74.835
85.56
71.935
77.235
65.335
74.72
77.83
80.675
76.345
65.52
77.55
85.9
76.37
65.505
91.07
75.76
65.33
75.595
65.28
77.365
72.945
76.42
78.545
81.9
75.71
65.615
76.45
65.16
88.655
92.91
83.74
76.61
78.125
116.455
83.35
98.01
DLL Search:
414.58
809.695
1122.76
1455.11
1864.22
2321.31
2870.41
3012.84
3279.14
3672.6
4274.35
4293.88
4990.92
5273.62
5132.96
6305.9
6741.27
6620.5
7633.56
7285.58
7269.63
8028.73
7847.48
8357.07
9185.69
9908.08
10358.1
10545.6
10786.6
10625.3
11549.5
11661.7
12971.1
12535.2
13785.1
13056.8
13942.2
14629.9
13081.7
15090.4
15194.2
15057.8
16431.5
16492.3
16227
16126.6
16908.6
18915.2
17301.3
18616.6
