142.835,3
123.795,5
177.725,12
135.355,10
120.295,18
120.32,20
115.12,15
110.685,27
110.755,22
133.7,35
117.13,42
111.82,38
117.115,39
118.69,43
117.645,57
118.375,53
127.335,56
131.535,57
141.335,69
116.555,51
121.4,79
136.335,65
118.82,73
137.36,80
120.405,74
134.675,81
283.665,76
144.855,76
111.74,86
139.905,86
153.705,94
122.35,86
145.655,96
128.105,95
130.545,95
150.665,108
132.45,114
114.26,107
221.325,111
164.47,108
131.835,109
116.615,109
152.45,121
156.89,118
146.475,125
128.65,105
135.17,120
181.655,120
129.705,117
157.58,131

67.74,1
83.235,3
93.4,2
90.245,7
89.88,7
86.695,10
79.845,13
85.915,13
99.42,11
95.655,14
90.23,15
84.32,14
84.31,21
91.86,21
90.585,12
96.485,30
96.965,23
101.14,28
97.345,29
89.705,25
98.385,29
101.17,31
92.575,41
91.835,31
88.415,22
96.535,38
102.68,34
102.745,31
94.43,45
95.78,41
117.145,34
95.87,40
98.67,49
103.535,56
162.05,52
104.745,46
110.03,58
112.675,52
169.17,64
106.15,51
99.805,59
95.19,55
110.495,59
122.13,57
114.37,60
113.58,70
106.65,64
103.955,59
121.445,70
122.66,61
