81.565,3
67.25,7
66.465,21
63.725,21
66.3,38
66.995,44
66.345,31
69.3,59
67.72,49
71.84,73
73.7,90
91.095,77
78.3,95
80.385,117
79.88,119
84.09,146
136.565,145
84.255,137
125.36,197
88.415,157
95.205,217
92.385,205
94.26,214
113.24,252
96.6,231
101.26,268
100.32,292
100.675,297
102.585,301
100.985,309
108.635,354
105.085,350
104.505,375
106.2,395
109.73,454
112.34,524
114.995,569
116.975,614
117.295,614
121.445,649
122.1,672
130.36,793
143.3,962
140.415,927
235.25,1113
155.19,1125
175.415,1409
195.06,1675
229.665,2139
283.205,2889

59.98,3
59.05,0
59.89,3
62.255,15
62.45,16
65.78,22
63.575,16
63.73,22
65.445,33
65.355,30
82.305,36
81.9,37
72.44,56
70.4,59
69.16,51
72.57,68
72.235,53
74.405,82
88.965,84
76.265,77
72.085,64
72.54,69
73.845,81
88.185,86
80.35,108
77.67,97
80.465,120
83.6,143
81.03,123
80.47,123
86.34,159
84.76,149
82.485,137
89.025,178
87.41,178
89.095,185
93.18,221
91.205,206
92.515,219
88.735,182
92.635,229
96.095,247
98.27,283
100.75,310
102.48,306
105.94,384
104.59,342
104.81,386
112.325,468
99.795,323
